DocId,name,Organization,Position,category,category_main
imh-11-0,丁崇吉,Shanghai Maritime Customs,POST,administration: local,administration
imh-11-0,丁崇吉,Shanghai Maritime Customs,POST,administration: local,administration
imh-11-0,丁崇吉,Shanghai Maritime Customs,POST,administration: local,administration
imh-11-0,丁崇吉,Holyoke High School,PRE,education: secondary,education
imh-11-0,丁崇吉,Shanghai Educational Mission School,PRE,education: missionary,education
imh-11-0,丁崇吉,Harvard University,US,education: higher,education
imh-11-1,刁慶湘,Chinese Medical Journal,POST,media: journal,media
imh-11-1,刁慶湘,National Medical Association of China,POST,association: professional,association
imh-11-1,刁慶湘,National Medical Journal,POST,media: journal,media
imh-11-1,刁慶湘,St. John's Alumni Association,POST,association: students,association
imh-11-1,刁慶湘,St. Luke's Hospital,POST,facility: health,facility
imh-11-1,刁慶湘,Geldenhui Hospital,PRE,facility: health,facility
imh-11-1,刁慶湘,Iolani College,PRE,education: higher,education
imh-11-1,刁慶湘,St. John's University,PRE,education: higher,education
imh-11-1,刁慶湘,St. Luke's Hospital,PRE,facility: health,facility
imh-11-1,刁慶湘,St. Peter's School,PRE,education: secondary,education
imh-11-1,刁慶湘,University of Pennsylvania,US,education: higher,education
imh-11-1,刁慶湘,Pennsylvania Chinese Students' Club,US,association: students,association
imh-11-10,王寵惠,Cabinet Office,POST,government: central,government
imh-11-10,王寵惠,Chung Hua Book Company,POST,business: company,business
imh-11-10,王寵惠,Civil and Criminal Code Commission,POST,administration: commission,administration
imh-11-10,王寵惠,Fu Tan College,POST,education: higher,education
imh-11-10,王寵惠,Nanking Provisional Government,POST,government: central,government
imh-11-10,王寵惠,Peiyang University,PRE,education: higher,education
imh-11-10,王寵惠,English Bar,US,judiciary: foreign,judiciary
imh-11-10,王寵惠,Inner Temple,US,association: professional,association
imh-11-10,王寵惠,Journal of the American Bar Association,US,media: periodical,media
imh-11-10,王寵惠,Yale University,US,education: higher,education
imh-11-100,周倫元,Pinghsiang Colliery,POST,industry: mines,industry
imh-11-100,周倫元,Ningpo Baptist Academy,PRE,education: higher,education
imh-11-100,周倫元,Ningpo Middle School,PRE,education: secondary,education
imh-11-100,周倫元,St. John's University,PRE,education: higher,education
imh-11-100,周倫元,Standard Oil Company of New York,PRE,business: company,business
imh-11-100,周倫元,Ingersoll Rand Company,US,business: company,business
imh-11-100,周倫元,La Salle Carbon and Coal Company,US,business: company,business
imh-11-100,周倫元,Lehigh University,US,education: higher,education
imh-11-101,周典,Victoria University,OTHER,education: higher,education
imh-11-101,周典,Ministry of Agriculture and Commerce,POST,government: central,government
imh-11-101,周典,Peking Government University,POST,education: higher,education
imh-11-101,周典,Peking Government University,POST,education: higher,education
imh-11-101,周典,University of Pennsylvania,US,education: higher,education
imh-11-102,周宗華,Honan Provincial College,POST,education: higher,education
imh-11-102,周宗華,Liangche Salt Inspectorate,POST,administration: local,administration
imh-11-102,周宗華,Shao-Hsing Salt Revenue Office,POST,administration: local,administration
imh-11-102,周宗華,Peiyang University,PRE,education: higher,education
imh-11-102,周宗華,Brown University,US,education: higher,education
imh-11-102,周宗華,University of Chicago,US,education: higher,education
imh-11-102,周宗華,Yale University,US,education: higher,education
imh-11-103,周詒春,Alpha Chi Rho,POST,association: fraternity,association
imh-11-103,周詒春,Fu Tan College,POST,education: higher,education
imh-11-103,周詒春,Ministry of Foreign Affairs,POST,government: central,government
imh-11-103,周詒春,Phi Beta Kappa,POST,association: fraternity,association
imh-11-103,周詒春,Phi Delta Kappa,POST,association: fraternity,association
imh-11-103,周詒春,St. John's University,POST,education: higher,education
imh-11-103,周詒春,St. John's University,POST,education: higher,education
imh-11-103,周詒春,St. John's University,POST,education: higher,education
imh-11-103,周詒春,Tsing Hua College,POST,education: higher,education
imh-11-103,周詒春,Woosung National Institute,POST,education: higher,education
imh-11-103,周詒春,Yale University,POST,education: higher,education
imh-11-103,周詒春,University of Wisconsin,US,education: higher,education
imh-11-104,周象賢,Bureau of Municipal Administration (Peking),POST,administration: local,administration
imh-11-104,周象賢,Ministry of Interior,POST,government: central,government
imh-11-104,周象賢,Peking Government University,POST,education: higher,education
imh-11-104,周象賢,Massachusetts Institute of Technology,US,education: higher,education
