DocId,name,Organization,Position,category,category_main
imh-11-1,刁慶湘,National Medical Association of China,POST,association: professional,association
imh-11-1,刁慶湘,St. John's Alumni Association,POST,association: students,association
imh-11-1,刁慶湘,Pennsylvania Chinese Students' Club,US,association: students,association
imh-11-10,王寵惠,Inner Temple,US,association: professional,association
imh-11-103,周詒春,Alpha Chi Rho,POST,association: fraternity,association
imh-11-103,周詒春,Phi Beta Kappa,POST,association: fraternity,association
imh-11-103,周詒春,Phi Delta Kappa,POST,association: fraternity,association
imh-11-104,周象賢,M. I. T. Cosmopolitan Club,US,association: club,association
imh-11-106,卓鏞詩,Y.M.C.A.,POST,association: voluntary,association
imh-11-106,卓鏞詩,Chinese Student's Alliance,US,association: students,association
imh-11-106,卓鏞詩,Chinese Students' Christian Association,US,association: students,association
imh-11-106,卓鏞詩,Stanford Cosmopolitan Club,US,association: club,association
imh-11-107,林鑑誠,Chinese Student's Alliance,US,association: students,association
imh-11-109,林立,Association of Cosmopolitan Clubs,US,association: club,association
imh-11-109,林立,Garfield Literary Society,US,association: society,association
imh-11-109,林立,Goethenian Oratorical Association,US,association: society,association
imh-11-109,林立,Phi Delta Kappa,US,association: fraternity,association
imh-11-11,王寵佑,American Institute of Mining Engineers,US,association: professional,association
imh-11-11,王寵佑,Sigma Xi,US,association: fraternity,association
imh-11-110,易鼎新,Chinese Student's Alliance,US,association: students,association
imh-11-110,易鼎新,Lehigh Chinese Students' Club,US,association: students,association
imh-11-110,易鼎新,Lehigh University Electrical Society,US,association: professional,association
imh-11-110,易鼎新,Sigma Xi,US,association: fraternity,association
imh-11-110,易鼎新,Tau Beta Pi,US,association: fraternity,association
imh-11-111,胡其炳,Washingtonian Society,US,association: society,association
imh-11-112,胡昌鶴,Chinese Student's Alliance,US,association: students,association
imh-11-112,胡昌鶴,Chinese Students' Christian Association,US,association: students,association
imh-11-112,胡昌鶴,Epworth League,US,association: voluntary,association
imh-11-112,胡昌鶴,Goethenian Oratorical Association,US,association: society,association
imh-11-112,胡昌鶴,Goethenian Oratorical Association,US,association: society,association
imh-11-112,胡昌鶴,Y.M.C.A. (U.S.A.),US,association: voluntary,association
